COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,,,VACCINES_USED,,,Abdala,Anhui ZL - Recombinant,AstraZeneca ,Beijing CNBG - BBIBP-CorV,CanSino ,Sputnik V,Janssen - ,Moderna,Novavx,Pfizer ,Covishield,Sinovac,Soberana02,Wuhan CNBG
Gambia,GMB,AFRO,REPORTING,26-07-2021,40810,30421,1.689,1.259,7355,0.304,10-03-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Georgia,GEO,EURO,REPORTING,25-07-2021,399076,260053,10,6.519,139023,3.485,17-03-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,Pfizer ,No,Sinovac,No,No
Germany,DEU,EURO,REPORTING,25-07-2021,89423523,50657861,107.5,60.911,38765662,49.416,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Ghana,GHA,AFRO,REPORTING,26-07-2021,1271393,865422,4.092,2.785,405971,1.307,02-03-2021,2,,,"Gamaleya - Sputnik V,SII - Covishield",,,No,Abdala,No,No,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Gibraltar,GIB,EURO,OWID,26-07-2021,78406,39329,232.721,116.734,39077,115.986,,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
Greece,GRC,EURO,REPORTING,25-07-2021,10127435,5568404,94.5,51.951,4559031,45.509,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Greenland,GRL,EURO,OWID,27-07-2021,57767,35375,101.753,62.311,22392,39.442,,1,,,Moderna - mRNA-1273,,,No,Abdala,No,No,No,No,No,Moderna,No,No,No,No,No,No
Grenada,GRD,AMRO,REPORTING,23-07-2021,36524,21014,32.459,18.675,15510,13.784,15-02-2021,2,,,"AstraZeneca - Vaxzevria,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,No,No,No
Guadeloupe,GLP,AMRO,REPORTING,23-07-2021,124136,75781,31.024,18.939,48355,12.085,08-01-2021,5,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Guam,GUM,WPRO,REPORTING,26-07-2021,198152,106778,117.406,63.266,96795,57.352,04-01-2021,3,,,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Guatemala,GTM,AMRO,REPORTING,23-07-2021,1462767,1176331,8.165,6.566,286436,1.599,25-02-2021,4,,,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,Sputnik V,No,Moderna,No,No,Covishield,No,No,No
Guernsey,GGY,EURO,OWID,27-07-2021,91723,,142.277,,,,,3,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Guinea,GIN,AFRO,REPORTING,26-07-2021,794105,508327,6.047,3.871,285778,2.176,05-03-2021,6,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,No,No,Pfizer ,Covishield,Sinovac,No,No
Guinea-Bissau,GNB,AFRO,REPORTING,26-07-2021,25225,24085,1.282,1.224,1787,0.091,02-04-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Guyana,GUY,AMRO,REPORTING,23-07-2021,373726,244365,47.514,31.068,129361,16.447,11-02-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Haiti,HTI,AMRO,REPORTING,23-07-2021,2198,2198,0.019,0.019,341,0.003,,2,,,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",,,No,Abdala,No,No,No,No,Janssen - ,Moderna,No,No,No,No,No,No
Honduras,HND,AMRO,REPORTING,23-07-2021,1578725,1405676,15.939,14.192,173364,1.75,26-02-2021,6,,,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,Sputnik V,Janssen - ,Moderna,No,Pfizer ,Covishield,No,No,No
Hungary,HUN,EURO,REPORTING,25-07-2021,10366218,5350566,106.1,54.768,5015652,52.499,23-12-2020,7,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,Moderna,No,Pfizer ,No,Sinovac,No,No
Iceland,ISL,EURO,REPORTING,25-07-2021,447347,256477,122.9,70.435,190870,66.959,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
India,IND,SEARO,REPORTING,27-07-2021,441912395,346516149,32.023,25.11,95396246,6.913,16-01-2021,3,,,"Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",,,No,Abdala,No,No,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Indonesia,IDN,SEARO,REPORTING,27-07-2021,64391434,45534183,23.541,16.647,18857251,6.894,13-01-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,No,Moderna,No,No,No,Sinovac,No,No
Iran (Islamic Republic of),IRN,EMRO,REPORTING,26-07-2021,10168674,7741936,12.107,9.217,2426738,2.889,09-02-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,No,No,No,No
Iraq,IRQ,EMRO,REPORTING,05-07-2021,1087866,699325,2.705,1.739,388541,0.966,02-03-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,Pfizer ,No,No,No,No
Ireland,IRL,EURO,REPORTING,25-07-2021,5550996,3147656,111.8,63.404,2403340,52.334,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Isle of Man,IMN,EURO,OWID,27-07-2021,122556,64756,144.129,76.155,57800,67.974,,2,,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
Israel,ISR,EURO,REPORTING,25-07-2021,11051469,5760062,127.7,66.548,5291407,61.133,16-12-2020,2,,,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Italy,ITA,EURO,REPORTING,25-07-2021,64073750,36528765,107.4,61.252,27542430,48.391,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Jamaica,JAM,AMRO,REPORTING,23-07-2021,300902,178728,10.162,6.036,122174,4.126,10-03-2021,2,,,"AstraZeneca - Vaxzevria,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,No,No,No
Japan,JPN,WPRO,REPORTING,26-07-2021,79383659,46911901,62.766,37.091,32471758,25.674,17-02-2021,4,,,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,No,Moderna,Novavx,Pfizer ,No,No,No,No
Jersey,JEY,EURO,OWID,21-07-2021,137530,73568,127.584,68.247,63962,59.336,,3,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Jordan,JOR,EMRO,REPORTING,26-07-2021,4949862,2829438,48.513,27.731,2120424,20.782,13-01-2021,6,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Kazakhstan,KAZ,EURO,REPORTING,25-07-2021,7517061,4531219,40,24.132,2985842,15.902,10-03-2021,4,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,RIBSP - QazCovid,Sinovac - CoronaVac",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,No,Sinovac,No,No
Kenya,KEN,AFRO,REPORTING,26-07-2021,1673272,1047592,3.112,1.948,625680,1.164,05-03-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Kiribati,KIR,WPRO,REPORTING,26-05-2021,0,0,0.001,0.001,0,0.001,26-05-2021,1,,,AstraZeneca - Vaxzevria,,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,No,No,No,No
Kosovo,XKX,EURO,REPORTING,04-07-2021,219788,177261,12.2,9.872,42527,2.368,,1,,,AstraZeneca - AZD1222,,,No,Abdala,No,No,No,No,No,No,No,No,No,No,No,No
Kuwait,KWT,EMRO,REPORTING,28-04-2021,1120000,,26.226,,,,28-12-2020,5,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Kyrgyzstan,KGZ,EURO,OWID,09-06-2021,54101,,0.8,,,,28-04-2021,2,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,No,No,No,No,No
Lao People's Democratic Republic,LAO,WPRO,REPORTING,17-07-2021,1777140,1050818,24.426,14.443,726322,9.983,25-11-2020,6,,,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,No,No,Pfizer ,Covishield,Sinovac,No,No
Latvia,LVA,EURO,REPORTING,25-07-2021,1233472,684472,64.7,35.88,549000,33.594,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Lebanon,LBN,EMRO,REPORTING,26-07-2021,1831601,1086413,26.835,15.917,744211,10.903,14-02-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,Pfizer ,No,No,No,No
Lesotho,LSO,AFRO,REPORTING,26-07-2021,72948,36637,3.405,1.71,32181,1.502,10-03-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Liberia,LBR,AFRO,REPORTING,26-07-2021,95423,86288,1.887,1.706,9135,0.181,01-04-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Libya,LBY,EMRO,REPORTING,28-07-2021,546745,546745,7.957,7.957,0,0,11-04-2021,6,,,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,No,Sputnik V,Janssen - ,Moderna,No,Pfizer ,No,Sinovac,No,No
Liechtenstein,LIE,OTHER,OWID,26-07-2021,39205,20630,101.182,53.243,18852,48.654,,2,,,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,No,Moderna,No,Pfizer ,No,No,No,No
Lithuania,LTU,EURO,REPORTING,25-07-2021,2388085,1298497,85.5,46.473,1089588,41.653,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Luxembourg,LUX,EURO,REPORTING,25-07-2021,685081,391173,109.4,62.477,293908,52.178,30-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Madagascar,MDG,AFRO,REPORTING,26-07-2021,197001,197001,0.711,0.711,,,10-05-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Malawi,MWI,AFRO,REPORTING,26-07-2021,492390,385242,2.574,2.014,43165,0.226,11-03-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Malaysia,MYS,WPRO,REPORTING,16-07-2021,16024916,10920862,49.512,33.742,5104054,15.77,24-02-2021,5,,,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,CanSino ,Sputnik V,No,No,No,Pfizer ,No,Sinovac,No,No
Maldives,MDV,SEARO,REPORTING,26-07-2021,583034,321429,107.861,59.464,261605,48.397,01-02-2021,8,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,Moderna,No,Pfizer ,Covishield,Sinovac,No,No
Mali,MLI,AFRO,REPORTING,26-07-2021,196862,145016,0.972,0.716,51846,0.256,31-03-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Malta,MLT,EURO,REPORTING,25-07-2021,726573,370416,141.2,71.986,356157,71.291,23-12-2020,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Marshall Islands,MHL,WPRO,REPORTING,26-07-2021,35697,19774,60.305,33.405,17102,28.891,29-12-2020,3,,,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,No,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Martinique,MTQ,AMRO,REPORTING,23-07-2021,111489,61227,29.709,16.316,50262,13.394,,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
Mauritania,MRT,AFRO,REPORTING,26-07-2021,192094,177259,4.131,3.812,14835,0.319,26-03-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Mauritius,MUS,AFRO,REPORTING,26-07-2021,1156482,634013,90.935,49.853,522469,41.082,26-01-2021,3,,,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Mexico,MEX,AMRO,REPORTING,23-07-2021,56872930,39725060,44.111,30.811,22613981,17.539,,6,,,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,,No,Abdala,AstraZeneca ,No,CanSino ,Sputnik V,Janssen - ,No,No,Pfizer ,No,Sinovac,No,No
Micronesia (Federated States of),FSM,WPRO,REPORTING,26-07-2021,54547,32678,47.423,28.41,28683,24.937,13-01-2021,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
Monaco,MCO,EURO,OWID,22-07-2021,39790,21144,101.4,53.878,,47.513,30-06-2021,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
Mongolia,MNG,WPRO,REPORTING,23-07-2021,4047452,2131213,123.462,65.01,1916239,58.452,23-02-2021,6,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,Moderna,No,Pfizer ,Covishield,No,No,No
Montenegro,MNE,EURO,REPORTING,25-07-2021,299502,167609,47.7,26.687,131893,21,24-02-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,Pfizer ,No,No,No,No
Montserrat,MSR,AMRO,REPORTING,23-07-2021,2730,1439,54.611,28.786,1291,25.825,08-02-2021,1,,,AstraZeneca - Vaxzevria,,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,No,No,No,No
Morocco,MAR,EMRO,REPORTING,27-07-2021,21926072,12061160,59.403,32.677,9864912,26.727,28-01-2021,4,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,No,No,No,No,No,No,No
Mozambique,MOZ,AFRO,REPORTING,26-07-2021,691040,372085,2.211,1.19,318955,1.02,08-03-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Myanmar,MMR,SEARO,REPORTING,05-06-2021,3368042,1840758,6.19,3.383,1527284,2.807,27-01-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Namibia,NAM,AFRO,REPORTING,26-07-2021,170973,136189,6.729,5.36,34787,1.369,19-03-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Nauru,NRU,WPRO,REPORTING,16-07-2021,14784,7533,136.459,69.531,7251,66.928,09-04-2021,2,,,"AstraZeneca - Vaxzevria,SII - Covishield",,,No,Abdala,AstraZeneca ,No,No,No,No,No,No,No,Covishield,No,No,No
Nepal,NPL,SEARO,REPORTING,25-07-2021,4453496,3309972,15.285,11.36,1143524,3.925,27-01-2021,6,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,Janssen - ,No,No,No,Covishield,No,No,No
Netherlands,NLD,EURO,REPORTING,25-07-2021,19751575,11855109,113.5,68.103,7896466,49.733,06-01-2021,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,Moderna,No,Pfizer ,No,No,No,No
New Caledonia,NCL,WPRO,REPORTING,27-07-2021,127792,67314,44.761,23.578,60478,21.183,20-01-2021,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
New Zealand,NZL,WPRO,REPORTING,23-07-2021,1651069,985563,34.239,20.438,665506,13.801,19-02-2021,4,,,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty",,,No,Abdala,AstraZeneca ,No,No,No,Janssen - ,No,Novavx,Pfizer ,No,No,No,No
Nicaragua,NIC,AMRO,REPORTING,23-07-2021,415640,252766,6.274,3.816,162874,2.459,02-03-2021,2,,,"Gamaleya - Sputnik V,SII - Covishield",,,No,Abdala,No,No,No,Sputnik V,No,No,No,No,Covishield,No,No,No
Niger,NER,AFRO,REPORTING,26-07-2021,401133,343170,1.657,1.418,57963,0.239,29-03-2021,2,,,"Beijing CNBG - BBIBP-CorV,SII - Covishield",,,No,Abdala,No,Beijing CNBG - BBIBP-CorV,No,No,No,No,No,No,Covishield,No,No,No
Nigeria,NGA,AFRO,REPORTING,26-07-2021,3938945,2546599,1.911,1.235,1416406,0.687,05-03-2021,1,,,SII - Covishield,,,No,Abdala,No,No,No,No,No,No,No,No,Covishield,No,No,No
Niue,NIU,WPRO,REPORTING,16-07-2021,2406,1186,148.702,73.3,,,08-06-2021,1,,,Pfizer BioNTech - Comirnaty,,,No,Abdala,No,No,No,No,No,No,No,Pfizer ,No,No,No,No
North Macedonia,MKD,EURO,REPORTING,25-07-2021,812684,477567,39,22.923,335117,16.085,17-02-2021,6,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",,,No,Abdala,AstraZeneca ,Beijing CNBG - BBIBP-CorV,No,Sputnik V,No,No,No,Pfizer ,No,Sinovac,No,Wuhan CNBG
